0 5.00 5.00 5.00 5.00 5.00 5.00 5.00 4.99 
8 4.98 4.97 4.99 4.98 4.96 4.99 4.92 4.93 
16 4.79 4.79 4.79 4.81 4.53 4.87 4.45 4.74 
24 4.49 4.37 4.48 4.59 3.94 4.71 3.72 4.50 
32 4.12 3.82 4.15 4.34 3.11 4.50 2.83 4.22 
40 3.69 3.18 3.63 4.05 2.26 4.27 1.86 3.91 
48 3.23 2.40 3.15 3.75 1.36 4.00 0.95 3.58 
56 2.74 1.83 2.64 3.44 0.63 3.71 0.56 3.24 
64 2.27 1.05 2.08 3.12 0.54 3.40 0.51 2.90 
72 1.76 0.63 1.58 2.78 0.50 3.07 0.47 2.53 
80 1.23 0.56 1.02 2.45 0.46 2.71 0.44 2.17 
88 0.76 0.52 0.63 2.09 0.43 2.33 0.42 1.80 
96 0.60 0.49 0.57 1.74 0.42 1.93 0.40 1.42 
104 0.56 0.46 0.53 1.38 0.40 2.18 0.38 1.05 
112 0.52 0.44 0.50 1.04 0.39 1.11 0.37 0.72 
120 0.50 0.42 0.48 0.72 0.37 1.48 0.36 0.63 
128 0.48 0.40 0.47 0.63 0.36 0.73 0.35 0.59 
136 0.47 0.39 0.46 0.59 0.36 0.75 0.35 0.56 
144 0.47 0.38 0.47 0.57 0.36 0.62 0.34 0.54 
152 0.47 0.37 0.46 0.54 0.36 0.59 0.34 0.52 
160 0.47 0.35 0.46 0.52 0.36 0.57 0.34 0.50 
168 0.47 0.34 0.46 0.51 0.36 0.53 0.35 0.49 
176 0.47 0.34 0.47 0.49 0.36 0.54 0.35 0.47 
184 0.47 0.33 0.46 0.48 0.36 0.50 0.35 0.46 
192 0.47 0.33 0.46 0.47 0.36 0.51 0.34 0.45 
200 0.47 0.32 0.46 0.47 0.36 0.50 0.34 0.44 
208 0.47 0.32 0.46 0.46 0.36 0.49 0.35 0.44 
216 0.47 0.32 0.46 0.46 0.36 0.50 0.35 0.45 
224 0.47 0.32 0.46 0.46 0.36 0.49 0.34 0.44 
232 0.47 0.32 0.46 0.46 0.36 0.50 0.34 0.44 
240 0.47 0.32 0.46 0.46 0.36 0.49 0.34 0.44 
248 0.47 0.32 0.46 0.46 0.36 0.49 0.35 0.44 

