0 5.00 5.00 5.00 5.00 5.00 5.00 5.00 5.00 
8 4.97 4.97 4.99 4.98 4.96 4.98 4.92 4.96 
16 4.80 4.76 4.80 4.82 4.54 4.81 4.41 4.89 
24 4.51 4.30 4.49 4.61 3.72 4.58 3.72 4.79 
32 4.12 3.78 4.01 4.37 3.17 4.31 2.84 4.68 
40 3.71 2.97 3.69 4.10 2.27 4.06 1.88 4.57 
48 3.26 2.21 3.17 3.81 1.37 3.93 0.80 4.44 
56 2.81 1.42 2.67 3.53 0.63 3.78 0.56 4.31 
64 2.29 0.68 2.04 3.19 0.54 3.63 0.50 4.17 
72 1.79 0.58 1.58 2.88 0.49 3.35 0.47 4.03 
80 1.29 0.52 1.06 2.54 0.46 3.05 0.43 3.89 
88 0.78 0.48 0.64 2.22 0.43 2.72 0.42 3.75 
96 0.61 0.45 0.57 1.88 0.42 2.39 0.40 3.60 
104 0.55 0.43 0.53 1.54 0.40 1.71 0.38 3.45 
112 0.52 0.42 0.50 1.21 0.39 1.67 0.37 3.30 
120 0.50 0.40 0.48 0.88 0.37 1.27 0.36 3.14 
128 0.48 0.38 0.47 0.67 0.36 0.93 0.35 2.99 
136 0.47 0.37 0.46 0.62 0.36 0.83 0.34 2.83 
144 0.47 0.36 0.46 0.58 0.36 0.60 0.34 2.67 
152 0.47 0.35 0.46 0.55 0.36 0.63 0.34 2.51 
160 0.47 0.34 0.47 0.54 0.36 0.55 0.34 2.35 
168 0.47 0.34 0.46 0.52 0.36 0.58 0.34 2.19 
176 0.47 0.33 0.46 0.50 0.36 0.53 0.34 2.03 
184 0.47 0.32 0.46 0.49 0.36 0.53 0.34 1.87 
192 0.47 0.32 0.46 0.47 0.36 0.51 0.34 1.70 
200 0.47 0.31 0.46 0.47 0.35 0.50 0.35 1.62 
208 0.47 0.31 0.46 0.47 0.35 0.50 0.34 1.61 
216 0.47 0.31 0.46 0.47 0.36 0.50 0.34 1.61 
224 0.47 0.31 0.46 0.47 0.36 0.50 0.34 1.57 
232 0.47 0.31 0.46 0.47 0.36 0.50 0.34 1.55 
240 0.47 0.31 0.46 0.47 0.36 0.50 0.34 1.53 
248 0.47 0.31 0.46 0.47 0.35 0.50 0.34 1.54
