0 5.00 5.00 5.00 5.00 5.00 5.00 5.00 5.00 
8 5.00 4.99 5.00 4.99 4.98 4.99 4.97 4.96 
16 4.93 4.92 4.95 4.95 4.89 4.96 4.86 4.88 
24 4.87 4.82 4.90 4.90 4.79 4.91 4.71 4.78 
32 4.79 4.70 4.81 4.85 4.66 4.86 4.54 4.67 
40 4.68 4.55 4.75 4.79 4.52 4.80 4.36 4.55 
48 4.61 4.35 4.66 4.73 4.38 4.74 4.16 4.42 
56 4.53 4.23 4.58 4.67 4.21 4.67 3.96 4.29 
64 4.42 4.08 4.48 4.61 4.08 4.60 3.74 4.15 
72 4.32 3.87 4.41 4.55 3.91 4.53 3.52 4.01 
80 4.20 3.68 4.31 4.48 3.75 4.48 3.28 3.87 
88 4.11 3.48 4.22 4.41 3.56 4.44 3.08 3.72 
96 4.01 3.30 4.11 4.35 3.41 4.40 2.81 3.56 
104 3.90 3.09 4.02 4.27 3.22 4.33 2.58 3.41 
112 3.78 2.89 3.93 4.20 3.03 4.32 2.33 3.26 
120 3.66 2.71 3.82 4.13 2.84 4.17 2.08 3.10 
128 3.56 2.47 3.73 4.06 2.69 4.22 1.84 2.94 
136 3.45 2.26 3.61 3.99 2.50 4.00 1.57 2.78 
144 3.36 2.04 3.57 3.91 2.44 4.09 1.52 2.62 
152 3.37 1.80 3.57 3.84 2.44 3.91 1.53 2.46 
160 3.37 1.64 3.58 3.76 2.44 3.93 1.54 2.29 
168 3.37 1.44 3.57 3.69 2.44 3.80 1.53 2.13 
176 3.36 1.24 3.57 3.61 2.44 3.75 1.52 1.97 
184 3.37 0.99 3.57 3.54 2.44 3.69 1.53 1.80 
192 3.37 0.79 3.57 3.46 2.44 3.56 1.52 1.64 
200 3.37 0.69 3.57 3.39 2.44 3.57 1.53 1.53 
208 3.36 0.66 3.57 3.37 2.44 3.55 1.52 1.52 
216 3.36 0.66 3.57 3.37 2.43 3.55 1.52 1.52 
224 3.36 0.66 3.57 3.37 2.43 3.55 1.52 1.48 
232 3.36 0.65 3.57 3.36 2.43 3.54 1.52 1.46 
240 3.36 0.65 3.57 3.36 2.44 3.53 1.52 1.45 
248 3.36 0.65 3.57 3.36 2.42 3.53 1.52 1.45 


