0 5.00 5.00 5.00 5.00 5.00 5.00 5.00 4.99 
8 4.98 4.98 4.98 4.96 4.96 4.98 4.91 4.88 
16 4.79 4.81 4.79 4.76 4.52 4.83 4.45 4.52 
24 4.48 4.46 4.45 4.49 3.87 4.64 3.71 4.03 
32 4.05 4.02 4.04 4.17 3.08 4.40 2.94 3.46 
40 3.68 3.38 3.57 3.82 2.17 4.12 1.88 2.84 
48 3.21 3.00 3.03 3.46 1.30 3.82 0.88 2.18 
56 2.72 2.37 2.54 3.08 0.62 3.48 0.57 1.50 
64 2.17 1.76 1.97 2.67 0.54 3.12 0.51 0.82 
72 1.79 1.04 1.41 2.27 0.49 2.73 0.47 0.63 
80 1.21 0.69 0.80 1.85 0.46 2.32 0.44 0.56 
88 0.72 0.60 0.61 1.44 0.44 1.97 0.42 0.53 
96 0.60 0.56 0.56 1.02 0.42 1.78 0.40 0.49 
104 0.55 0.52 0.52 0.70 0.40 1.73 0.39 0.47 
112 0.52 0.50 0.49 0.63 0.39 1.33 0.37 0.45 
120 0.50 0.48 0.48 0.59 0.37 0.94 0.36 0.43 
128 0.48 0.46 0.45 0.56 0.36 0.86 0.35 0.42 
136 0.47 0.44 0.46 0.54 0.36 0.62 0.35 0.41 
144 0.47 0.42 0.45 0.52 0.36 0.65 0.35 0.39 
152 0.47 0.41 0.45 0.50 0.36 0.56 0.35 0.38 
160 0.47 0.40 0.46 0.49 0.36 0.59 0.35 0.37 
168 0.47 0.39 0.46 0.47 0.36 0.53 0.34 0.36 
176 0.47 0.38 0.45 0.46 0.36 0.54 0.35 0.36 
184 0.47 0.37 0.46 0.44 0.36 0.51 0.35 0.35 
192 0.47 0.36 0.46 0.43 0.36 0.50 0.34 0.34 
200 0.47 0.36 0.46 0.43 0.36 0.49 0.35 0.34 
208 0.47 0.36 0.45 0.43 0.36 0.50 0.34 0.34 
216 0.47 0.36 0.46 0.43 0.36 0.50 0.35 0.34 
224 0.47 0.36 0.46 0.43 0.36 0.50 0.35 0.34 
232 0.47 0.36 0.46 0.43 0.36 0.50 0.35 0.34 
240 0.47 0.36 0.45 0.43 0.36 0.50 0.35 0.34 
248 0.47 0.35 0.45 0.43 0.36 0.50 0.35 0.34
